ID,Category,ROUGE-L (Base),ROUGE-L (Agent),ΔROUGE,Faith (Base),Faith (Agent),ΔFaith,Rel (Base),Rel (Agent),ΔRel
Q1,Revenue,0.0147,0.1429,0.1282,0.0,0.3175,0.3175,0.1274,0.5891,0.4617
Q2,Products,0.0147,0.036,0.0213,0.0,0.2466,0.2466,-0.0307,0.5939,0.6246
Q3,Risk,0.0426,0.1212,0.0786,0.0,0.5373,0.5373,0.045,0.7701,0.7251
Q4,Cloud,0.0,0.098,0.098,0.0,0.2329,0.2329,0.0062,0.5665,0.5603
Q5,Cloud,0.0286,0.0941,0.0655,0.0,0.2586,0.2586,0.0994,0.6173,0.5179
Q6,Risk,0.028,0.0808,0.0528,0.0,0.5082,0.5082,0.1333,0.7791,0.6458
Q7,Revenue,0.0145,0.1651,0.1506,0.0,0.2603,0.2603,0.0703,0.6684,0.5981
Q8,Competition,0.0541,0.1167,0.0626,0.0,0.3514,0.3514,-0.0463,0.7055,0.7518
Q9,Products,0.0282,0.1091,0.0809,0.0,0.3919,0.3919,-0.066,0.3358,0.4018
Q10,Risk,0.0423,0.1111,0.0688,0.0,0.3667,0.3667,0.0244,0.7857,0.7613
